ID,step,angle,time,nest_x,nest_y,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,tod,dist2nest,x,y,hour
44067,23.1859968781545,-1.30129588498441,22-06-30 21:28:48,505925.125596706,5330513.00106142,88.1005162851337,7.33837985639873,0,4441.15525511099,0,4441.15525511099,88.4056151419348,21.4666666666667,11.1847048633683,505928.090874101,5330523.78552955,21
44067,15.9511355935932,-2.61271394121206,22-06-30 21:39:21.999992,505925.125596706,5330513.00106142,-9.96938069753666,-55.4013204436108,223.141210895702,3880.67610088758,223.141210895702,3880.67610088758,56.2911614588655,21.65,25.2947631788079,505950.154475822,5330516.65896444,21
44067,118.913304565227,-0.20150576803198,22-06-30 21:43:31.999992,505925.125596706,5330513.00106142,-530.969081565473,-39.2752750919801,0,4444.85061616248,0,4444.85061616248,532.419677333617,21.7166666666667,9.45281684048961,505934.575564071,5330513.2331455,21
44067,113.783806504691,-3.1155574393567,22-06-30 21:54:21.999992,505925.125596706,5330513.00106142,221.503559936121,27.4368554837553,229.936947879196,3905.61646862566,229.936947879196,3905.61646862566,223.196344287292,21.9,109.460961332974,505815.675548228,5330511.45544046,21
44067,750.950515418246,-0.0222633401270736,22-06-30 21:58:40.000008,505925.125596706,5330513.00106142,3555.41724536828,118.378369169011,0,4449.7387563766,0,4449.7387563766,3557.38741592046,21.9666666666667,5.26072447238949,505929.363801105,5330516.11760525,21
44067,716.290701676229,-3.09678357307592,22-06-30 22:09:21.999992,505925.125596706,5330513.00106142,-1606.56113215032,-232.180545956029,224.851061816483,3895.2236136068,224.851061816483,3895.2236136068,1623.2518218861,22.15,755.252426436929,506680.18271102,5330530.17609456,22
44067,7516.51935059972,-0.0119467302572533,22-06-30 22:13:33,505925.125596706,5330513.00106142,-22607.7720811186,-1250.47165390361,0,4456.99652232308,0,4456.99652232308,22642.3284542253,22.2166666666667,49.1722957512701,505965.33706973,5330484.69996415,22
44067,2705.5452960397,-0.00305148398905963,22-06-30 22:24:21.999992,505925.125596706,5330513.00106142,-44322.7010492746,-2223.46280552635,237.787720456713,3903.29514641155,237.787720456713,3903.29514641155,44378.4363756873,22.4,7477.88214948764,498458.816032549,5330097.13698049,22
44067,1199.11450213276,-0.0397294227951437,22-06-30 22:28:45.000008,505925.125596706,5330513.00106142,-25792.618215968,-1151.06297294606,0,4683.09481005884,0,4683.09481005884,25818.2900363748,22.4666666666667,10183.3772519124,495756.456487351,5329965.88060008,22
44067,703.551992953285,-2.9800284221487,22-06-30 22:39:21.999992,505925.125596706,5330513.00106142,1367.01706690644,407.17246970288,500.93612367247,4550.18021621122,500.93612367247,4550.18021621122,1426.36779313662,22.65,11381.408133245,494557.388451187,5329955.32437562,22
44067,268.60881193601,-0.0261054565263804,22-06-30 22:54:21.999992,505925.125596706,5330513.00106142,2974.06071776053,454.762966022097,382.234221387882,4646.3921487537,382.234221387882,4646.3921487537,3008.62867569122,22.9,10683.369375169,495250.754765085,5330074.60790986,22
